"","sample_id","project","s_project","organ","marker","type","control_type","code","Family","Genus","Species"
"DRYER_natura_leaf_ITS2_1_NA","DRYER_natura_leaf_ITS2_1_NA","DRYER","natura","leaf","ITS2","sample",NA,"1","Myristicaceae","Iryanthera","hostmannii"
"DRYER_natura_leaf_ITS2_10_NA","DRYER_natura_leaf_ITS2_10_NA","DRYER","natura","leaf","ITS2","sample",NA,"10","Clusiaceae","Symphonia","globulifera"
"DRYER_natura_leaf_ITS2_11_NA","DRYER_natura_leaf_ITS2_11_NA","DRYER","natura","leaf","ITS2","sample",NA,"11","Clusiaceae","Symphonia","globulifera"
"DRYER_natura_leaf_ITS2_12_NA","DRYER_natura_leaf_ITS2_12_NA","DRYER","natura","leaf","ITS2","sample",NA,"12","Clusiaceae","Symphonia","globulifera"
"DRYER_natura_leaf_ITS2_13_NA","DRYER_natura_leaf_ITS2_13_NA","DRYER","natura","leaf","ITS2","sample",NA,"13","Fabaceae","Pterocarpus","officinalis"
"DRYER_natura_leaf_ITS2_14_NA","DRYER_natura_leaf_ITS2_14_NA","DRYER","natura","leaf","ITS2","sample",NA,"14","Fabaceae","Pterocarpus","officinalis"
"DRYER_natura_leaf_ITS2_15_NA","DRYER_natura_leaf_ITS2_15_NA","DRYER","natura","leaf","ITS2","sample",NA,"15","Clusiaceae","Symphonia","globulifera"
"DRYER_natura_leaf_ITS2_16_NA","DRYER_natura_leaf_ITS2_16_NA","DRYER","natura","leaf","ITS2","sample",NA,"16","Clusiaceae","Symphonia","globulifera"
"DRYER_natura_leaf_ITS2_17_NA","DRYER_natura_leaf_ITS2_17_NA","DRYER","natura","leaf","ITS2","sample",NA,"17","Clusiaceae","Symphonia","globulifera"
"DRYER_natura_leaf_ITS2_18_NA","DRYER_natura_leaf_ITS2_18_NA","DRYER","natura","leaf","ITS2","sample",NA,"18","Clusiaceae","Symphonia","globulifera"
"DRYER_natura_leaf_ITS2_19_NA","DRYER_natura_leaf_ITS2_19_NA","DRYER","natura","leaf","ITS2","sample",NA,"19","Fabaceae","Eperua","falcata"
"DRYER_natura_leaf_ITS2_2_NA","DRYER_natura_leaf_ITS2_2_NA","DRYER","natura","leaf","ITS2","sample",NA,"2","Fabaceae","Eperua","falcata"
"DRYER_natura_leaf_ITS2_20_NA","DRYER_natura_leaf_ITS2_20_NA","DRYER","natura","leaf","ITS2","sample",NA,"20","Fabaceae","Eperua","falcata"
"DRYER_natura_leaf_ITS2_21_NA","DRYER_natura_leaf_ITS2_21_NA","DRYER","natura","leaf","ITS2","sample",NA,"21","Fabaceae","Eperua","falcata"
"DRYER_natura_leaf_ITS2_22_NA","DRYER_natura_leaf_ITS2_22_NA","DRYER","natura","leaf","ITS2","sample",NA,"22","Fabaceae","Pterocarpus","officinalis"
"DRYER_natura_leaf_ITS2_23_NA","DRYER_natura_leaf_ITS2_23_NA","DRYER","natura","leaf","ITS2","sample",NA,"23","Fabaceae","Pterocarpus","officinalis"
"DRYER_natura_leaf_ITS2_24_NA","DRYER_natura_leaf_ITS2_24_NA","DRYER","natura","leaf","ITS2","sample",NA,"24","Myristicaceae","Virola","surinamensis"
"DRYER_natura_leaf_ITS2_25_NA","DRYER_natura_leaf_ITS2_25_NA","DRYER","natura","leaf","ITS2","sample",NA,"25","Fabaceae","Eperua","falcata"
"DRYER_natura_leaf_ITS2_26_NA","DRYER_natura_leaf_ITS2_26_NA","DRYER","natura","leaf","ITS2","sample",NA,"26","Bignoniaceae","Jacaranda","copaia"
"DRYER_natura_leaf_ITS2_27_NA","DRYER_natura_leaf_ITS2_27_NA","DRYER","natura","leaf","ITS2","sample",NA,"27","Bignoniaceae","Jacaranda","copaia"
"DRYER_natura_leaf_ITS2_28_NA","DRYER_natura_leaf_ITS2_28_NA","DRYER","natura","leaf","ITS2","sample",NA,"28","Fabaceae","Eperua","falcata"
"DRYER_natura_leaf_ITS2_29_NA","DRYER_natura_leaf_ITS2_29_NA","DRYER","natura","leaf","ITS2","sample",NA,"29","Myristicaceae","Iryanthera","hostmannii"
"DRYER_natura_leaf_ITS2_3_NA","DRYER_natura_leaf_ITS2_3_NA","DRYER","natura","leaf","ITS2","sample",NA,"3","Bignoniaceae","Jacaranda","copaia"
"DRYER_natura_leaf_ITS2_30_NA","DRYER_natura_leaf_ITS2_30_NA","DRYER","natura","leaf","ITS2","sample",NA,"30","Bignoniaceae","Jacaranda","copaia"
"DRYER_natura_leaf_ITS2_31_NA","DRYER_natura_leaf_ITS2_31_NA","DRYER","natura","leaf","ITS2","sample",NA,"31","Myristicaceae","Iryanthera","hostmannii"
"DRYER_natura_leaf_ITS2_32_NA","DRYER_natura_leaf_ITS2_32_NA","DRYER","natura","leaf","ITS2","sample",NA,"32","Myristicaceae","Iryanthera","hostmannii"
"DRYER_natura_leaf_ITS2_33_NA","DRYER_natura_leaf_ITS2_33_NA","DRYER","natura","leaf","ITS2","sample",NA,"33","Myristicaceae","Iryanthera","hostmannii"
"DRYER_natura_leaf_ITS2_34_NA","DRYER_natura_leaf_ITS2_34_NA","DRYER","natura","leaf","ITS2","sample",NA,"34","Myristicaceae","Iryanthera","hostmannii"
"DRYER_natura_leaf_ITS2_35_NA","DRYER_natura_leaf_ITS2_35_NA","DRYER","natura","leaf","ITS2","sample",NA,"35","Bignoniaceae","Jacaranda","copaia"
"DRYER_natura_leaf_ITS2_36_NA","DRYER_natura_leaf_ITS2_36_NA","DRYER","natura","leaf","ITS2","sample",NA,"36","Fabaceae","Eperua","falcata"
"DRYER_natura_leaf_ITS2_37_NA","DRYER_natura_leaf_ITS2_37_NA","DRYER","natura","leaf","ITS2","sample",NA,"37","Fabaceae","Tachigali","melinonii"
"DRYER_natura_leaf_ITS2_38_NA","DRYER_natura_leaf_ITS2_38_NA","DRYER","natura","leaf","ITS2","sample",NA,"38","Myristicaceae","Iryanthera","hostmannii"
"DRYER_natura_leaf_ITS2_39_NA","DRYER_natura_leaf_ITS2_39_NA","DRYER","natura","leaf","ITS2","sample",NA,"39","Myristicaceae","Iryanthera","hostmannii"
"DRYER_natura_leaf_ITS2_4_NA","DRYER_natura_leaf_ITS2_4_NA","DRYER","natura","leaf","ITS2","sample",NA,"4","Fabaceae","Tachigali","melinonii"
"DRYER_natura_leaf_ITS2_40_NA","DRYER_natura_leaf_ITS2_40_NA","DRYER","natura","leaf","ITS2","sample",NA,"40","Fabaceae","Tachigali","melinonii"
"DRYER_natura_leaf_ITS2_41_NA","DRYER_natura_leaf_ITS2_41_NA","DRYER","natura","leaf","ITS2","sample",NA,"41","Fabaceae","Tachigali","melinonii"
"DRYER_natura_leaf_ITS2_42_NA","DRYER_natura_leaf_ITS2_42_NA","DRYER","natura","leaf","ITS2","sample",NA,"42","Fabaceae","Tachigali","melinonii"
"DRYER_natura_leaf_ITS2_43_NA","DRYER_natura_leaf_ITS2_43_NA","DRYER","natura","leaf","ITS2","sample",NA,"43","Fabaceae","Eperua","falcata"
"DRYER_natura_leaf_ITS2_44_NA","DRYER_natura_leaf_ITS2_44_NA","DRYER","natura","leaf","ITS2","sample",NA,"44","Fabaceae","Eperua","falcata"
"DRYER_natura_leaf_ITS2_45_NA","DRYER_natura_leaf_ITS2_45_NA","DRYER","natura","leaf","ITS2","sample",NA,"45","Fabaceae","Eperua","falcata"
"DRYER_natura_leaf_ITS2_46_NA","DRYER_natura_leaf_ITS2_46_NA","DRYER","natura","leaf","ITS2","sample",NA,"46","Fabaceae","Tachigali","melinonii"
"DRYER_natura_leaf_ITS2_47_NA","DRYER_natura_leaf_ITS2_47_NA","DRYER","natura","leaf","ITS2","sample",NA,"47","Fabaceae","Tachigali","melinonii"
"DRYER_natura_leaf_ITS2_48_NA","DRYER_natura_leaf_ITS2_48_NA","DRYER","natura","leaf","ITS2","sample",NA,"48","Fabaceae","Tachigali","melinonii"
"DRYER_natura_leaf_ITS2_49_NA","DRYER_natura_leaf_ITS2_49_NA","DRYER","natura","leaf","ITS2","sample",NA,"49","Fabaceae","Pterocarpus","officinalis"
"DRYER_natura_leaf_ITS2_5_NA","DRYER_natura_leaf_ITS2_5_NA","DRYER","natura","leaf","ITS2","sample",NA,"5","Clusiaceae","Symphonia","globulifera"
"DRYER_natura_leaf_ITS2_50_NA","DRYER_natura_leaf_ITS2_50_NA","DRYER","natura","leaf","ITS2","sample",NA,"50","Fabaceae","Pterocarpus","officinalis"
"DRYER_natura_leaf_ITS2_51_NA","DRYER_natura_leaf_ITS2_51_NA","DRYER","natura","leaf","ITS2","sample",NA,"51","Fabaceae","Pterocarpus","officinalis"
"DRYER_natura_leaf_ITS2_52_NA","DRYER_natura_leaf_ITS2_52_NA","DRYER","natura","leaf","ITS2","sample",NA,"52","Fabaceae","Eperua","falcata"
"DRYER_natura_leaf_ITS2_53_NA","DRYER_natura_leaf_ITS2_53_NA","DRYER","natura","leaf","ITS2","sample",NA,"53","Fabaceae","Iryanthera","hostmannii"
"DRYER_natura_leaf_ITS2_54_NA","DRYER_natura_leaf_ITS2_54_NA","DRYER","natura","leaf","ITS2","sample",NA,"54","Bignoniaceae","Jacaranda","copaia"
"DRYER_natura_leaf_ITS2_55_NA","DRYER_natura_leaf_ITS2_55_NA","DRYER","natura","leaf","ITS2","sample",NA,"55","Bignoniaceae","Jacaranda","copaia"
"DRYER_natura_leaf_ITS2_56_NA","DRYER_natura_leaf_ITS2_56_NA","DRYER","natura","leaf","ITS2","sample",NA,"56","Fabaceae","Tachigali","melinonii"
"DRYER_natura_leaf_ITS2_57_NA","DRYER_natura_leaf_ITS2_57_NA","DRYER","natura","leaf","ITS2","sample",NA,"57","Myristicaceae","Virola","surinamensis"
"DRYER_natura_leaf_ITS2_58_NA","DRYER_natura_leaf_ITS2_58_NA","DRYER","natura","leaf","ITS2","sample",NA,"58","Fabaceae","Pterocarpus","officinalis"
"DRYER_natura_leaf_ITS2_59_NA","DRYER_natura_leaf_ITS2_59_NA","DRYER","natura","leaf","ITS2","sample",NA,"59","Fabaceae","Pterocarpus","officinalis"
"DRYER_natura_leaf_ITS2_6_NA","DRYER_natura_leaf_ITS2_6_NA","DRYER","natura","leaf","ITS2","sample",NA,"6","Clusiaceae","Symphonia","globulifera"
"DRYER_natura_leaf_ITS2_60_NA","DRYER_natura_leaf_ITS2_60_NA","DRYER","natura","leaf","ITS2","sample",NA,"60","Fabaceae","Pterocarpus","officinalis"
"DRYER_natura_leaf_ITS2_62_NA","DRYER_natura_leaf_ITS2_62_NA","DRYER","natura","leaf","ITS2","sample",NA,"62","Myristicaceae","Virola","surinamensis"
"DRYER_natura_leaf_ITS2_63_NA","DRYER_natura_leaf_ITS2_63_NA","DRYER","natura","leaf","ITS2","sample",NA,"63","Myristicaceae","Virola","surinamensis"
"DRYER_natura_leaf_ITS2_64_NA","DRYER_natura_leaf_ITS2_64_NA","DRYER","natura","leaf","ITS2","sample",NA,"64","Myristicaceae","Virola","surinamensis"
"DRYER_natura_leaf_ITS2_65_NA","DRYER_natura_leaf_ITS2_65_NA","DRYER","natura","leaf","ITS2","sample",NA,"65","Myristicaceae","Virola","surinamensis"
"DRYER_natura_leaf_ITS2_66_NA","DRYER_natura_leaf_ITS2_66_NA","DRYER","natura","leaf","ITS2","sample",NA,"66","Myristicaceae","Virola","surinamensis"
"DRYER_natura_leaf_ITS2_67_NA","DRYER_natura_leaf_ITS2_67_NA","DRYER","natura","leaf","ITS2","sample",NA,"67","Myristicaceae","Virola","surinamensis"
"DRYER_natura_leaf_ITS2_68_NA","DRYER_natura_leaf_ITS2_68_NA","DRYER","natura","leaf","ITS2","sample",NA,"68","Myristicaceae","Virola","surinamensis"
"DRYER_natura_leaf_ITS2_69_NA","DRYER_natura_leaf_ITS2_69_NA","DRYER","natura","leaf","ITS2","sample",NA,"69","Fabaceae","Tachigali","melinonii"
"DRYER_natura_leaf_ITS2_7_NA","DRYER_natura_leaf_ITS2_7_NA","DRYER","natura","leaf","ITS2","sample",NA,"7","Myristicaceae","Iryanthera","hostmannii"
"DRYER_natura_leaf_ITS2_70_NA","DRYER_natura_leaf_ITS2_70_NA","DRYER","natura","leaf","ITS2","sample",NA,"70","Bignoniaceae","Jacaranda","copaia"
"DRYER_natura_leaf_ITS2_71_NA","DRYER_natura_leaf_ITS2_71_NA","DRYER","natura","leaf","ITS2","sample",NA,"71","Bignoniaceae","Jacaranda","copaia"
"DRYER_natura_leaf_ITS2_72_NA","DRYER_natura_leaf_ITS2_72_NA","DRYER","natura","leaf","ITS2","sample",NA,"72","Bignoniaceae","Jacaranda","copaia"
"DRYER_natura_leaf_ITS2_8_NA","DRYER_natura_leaf_ITS2_8_NA","DRYER","natura","leaf","ITS2","sample",NA,"8","Clusiaceae","Symphonia","globulifera"
"DRYER_natura_leaf_ITS2_9_NA","DRYER_natura_leaf_ITS2_9_NA","DRYER","natura","leaf","ITS2","sample",NA,"9","Myristicaceae","Iryanthera","hostmannii"
"DRYER_natura_root_ITS2_1_NA","DRYER_natura_root_ITS2_1_NA","DRYER","natura","root","ITS2","sample",NA,"1","Myristicaceae","Iryanthera","hostmannii"
"DRYER_natura_root_ITS2_10_NA","DRYER_natura_root_ITS2_10_NA","DRYER","natura","root","ITS2","sample",NA,"10","Clusiaceae","Symphonia","globulifera"
"DRYER_natura_root_ITS2_11_NA","DRYER_natura_root_ITS2_11_NA","DRYER","natura","root","ITS2","sample",NA,"11","Clusiaceae","Symphonia","globulifera"
"DRYER_natura_root_ITS2_12_NA","DRYER_natura_root_ITS2_12_NA","DRYER","natura","root","ITS2","sample",NA,"12","Clusiaceae","Symphonia","globulifera"
"DRYER_natura_root_ITS2_14_NA","DRYER_natura_root_ITS2_14_NA","DRYER","natura","root","ITS2","sample",NA,"14","Fabaceae","Pterocarpus","officinalis"
"DRYER_natura_root_ITS2_16_NA","DRYER_natura_root_ITS2_16_NA","DRYER","natura","root","ITS2","sample",NA,"16","Clusiaceae","Symphonia","globulifera"
"DRYER_natura_root_ITS2_18_NA","DRYER_natura_root_ITS2_18_NA","DRYER","natura","root","ITS2","sample",NA,"18","Clusiaceae","Symphonia","globulifera"
"DRYER_natura_root_ITS2_19_NA","DRYER_natura_root_ITS2_19_NA","DRYER","natura","root","ITS2","sample",NA,"19","Fabaceae","Eperua","falcata"
"DRYER_natura_root_ITS2_2_NA","DRYER_natura_root_ITS2_2_NA","DRYER","natura","root","ITS2","sample",NA,"2","Fabaceae","Eperua","falcata"
"DRYER_natura_root_ITS2_20_NA","DRYER_natura_root_ITS2_20_NA","DRYER","natura","root","ITS2","sample",NA,"20","Fabaceae","Eperua","falcata"
"DRYER_natura_root_ITS2_21_NA","DRYER_natura_root_ITS2_21_NA","DRYER","natura","root","ITS2","sample",NA,"21","Fabaceae","Eperua","falcata"
"DRYER_natura_root_ITS2_22_NA","DRYER_natura_root_ITS2_22_NA","DRYER","natura","root","ITS2","sample",NA,"22","Fabaceae","Pterocarpus","officinalis"
"DRYER_natura_root_ITS2_23_NA","DRYER_natura_root_ITS2_23_NA","DRYER","natura","root","ITS2","sample",NA,"23","Fabaceae","Pterocarpus","officinalis"
"DRYER_natura_root_ITS2_24_NA","DRYER_natura_root_ITS2_24_NA","DRYER","natura","root","ITS2","sample",NA,"24","Myristicaceae","Virola","surinamensis"
"DRYER_natura_root_ITS2_25_NA","DRYER_natura_root_ITS2_25_NA","DRYER","natura","root","ITS2","sample",NA,"25","Fabaceae","Eperua","falcata"
"DRYER_natura_root_ITS2_26_NA","DRYER_natura_root_ITS2_26_NA","DRYER","natura","root","ITS2","sample",NA,"26","Bignoniaceae","Jacaranda","copaia"
"DRYER_natura_root_ITS2_27_NA","DRYER_natura_root_ITS2_27_NA","DRYER","natura","root","ITS2","sample",NA,"27","Bignoniaceae","Jacaranda","copaia"
"DRYER_natura_root_ITS2_28_NA","DRYER_natura_root_ITS2_28_NA","DRYER","natura","root","ITS2","sample",NA,"28","Fabaceae","Eperua","falcata"
"DRYER_natura_root_ITS2_29_NA","DRYER_natura_root_ITS2_29_NA","DRYER","natura","root","ITS2","sample",NA,"29","Myristicaceae","Iryanthera","hostmannii"
"DRYER_natura_root_ITS2_3_NA","DRYER_natura_root_ITS2_3_NA","DRYER","natura","root","ITS2","sample",NA,"3","Bignoniaceae","Jacaranda","copaia"
"DRYER_natura_root_ITS2_30_NA","DRYER_natura_root_ITS2_30_NA","DRYER","natura","root","ITS2","sample",NA,"30","Bignoniaceae","Jacaranda","copaia"
"DRYER_natura_root_ITS2_31_NA","DRYER_natura_root_ITS2_31_NA","DRYER","natura","root","ITS2","sample",NA,"31","Myristicaceae","Iryanthera","hostmannii"
"DRYER_natura_root_ITS2_32_NA","DRYER_natura_root_ITS2_32_NA","DRYER","natura","root","ITS2","sample",NA,"32","Myristicaceae","Iryanthera","hostmannii"
"DRYER_natura_root_ITS2_33_NA","DRYER_natura_root_ITS2_33_NA","DRYER","natura","root","ITS2","sample",NA,"33","Myristicaceae","Iryanthera","hostmannii"
"DRYER_natura_root_ITS2_35_NA","DRYER_natura_root_ITS2_35_NA","DRYER","natura","root","ITS2","sample",NA,"35","Bignoniaceae","Jacaranda","copaia"
"DRYER_natura_root_ITS2_36_NA","DRYER_natura_root_ITS2_36_NA","DRYER","natura","root","ITS2","sample",NA,"36","Fabaceae","Eperua","falcata"
"DRYER_natura_root_ITS2_38_NA","DRYER_natura_root_ITS2_38_NA","DRYER","natura","root","ITS2","sample",NA,"38","Myristicaceae","Iryanthera","hostmannii"
"DRYER_natura_root_ITS2_43_NA","DRYER_natura_root_ITS2_43_NA","DRYER","natura","root","ITS2","sample",NA,"43","Fabaceae","Eperua","falcata"
"DRYER_natura_root_ITS2_44_NA","DRYER_natura_root_ITS2_44_NA","DRYER","natura","root","ITS2","sample",NA,"44","Fabaceae","Eperua","falcata"
"DRYER_natura_root_ITS2_45_NA","DRYER_natura_root_ITS2_45_NA","DRYER","natura","root","ITS2","sample",NA,"45","Fabaceae","Eperua","falcata"
"DRYER_natura_root_ITS2_48_NA","DRYER_natura_root_ITS2_48_NA","DRYER","natura","root","ITS2","sample",NA,"48","Fabaceae","Tachigali","melinonii"
"DRYER_natura_root_ITS2_49_NA","DRYER_natura_root_ITS2_49_NA","DRYER","natura","root","ITS2","sample",NA,"49","Fabaceae","Pterocarpus","officinalis"
"DRYER_natura_root_ITS2_5_NA","DRYER_natura_root_ITS2_5_NA","DRYER","natura","root","ITS2","sample",NA,"5","Clusiaceae","Symphonia","globulifera"
"DRYER_natura_root_ITS2_50_NA","DRYER_natura_root_ITS2_50_NA","DRYER","natura","root","ITS2","sample",NA,"50","Fabaceae","Pterocarpus","officinalis"
"DRYER_natura_root_ITS2_51_NA","DRYER_natura_root_ITS2_51_NA","DRYER","natura","root","ITS2","sample",NA,"51","Fabaceae","Pterocarpus","officinalis"
"DRYER_natura_root_ITS2_52_NA","DRYER_natura_root_ITS2_52_NA","DRYER","natura","root","ITS2","sample",NA,"52","Fabaceae","Eperua","falcata"
"DRYER_natura_root_ITS2_53_NA","DRYER_natura_root_ITS2_53_NA","DRYER","natura","root","ITS2","sample",NA,"53","Fabaceae","Iryanthera","hostmannii"
"DRYER_natura_root_ITS2_54_NA","DRYER_natura_root_ITS2_54_NA","DRYER","natura","root","ITS2","sample",NA,"54","Bignoniaceae","Jacaranda","copaia"
"DRYER_natura_root_ITS2_55_NA","DRYER_natura_root_ITS2_55_NA","DRYER","natura","root","ITS2","sample",NA,"55","Bignoniaceae","Jacaranda","copaia"
"DRYER_natura_root_ITS2_57_NA","DRYER_natura_root_ITS2_57_NA","DRYER","natura","root","ITS2","sample",NA,"57","Myristicaceae","Virola","surinamensis"
"DRYER_natura_root_ITS2_58_NA","DRYER_natura_root_ITS2_58_NA","DRYER","natura","root","ITS2","sample",NA,"58","Fabaceae","Pterocarpus","officinalis"
"DRYER_natura_root_ITS2_59_NA","DRYER_natura_root_ITS2_59_NA","DRYER","natura","root","ITS2","sample",NA,"59","Fabaceae","Pterocarpus","officinalis"
"DRYER_natura_root_ITS2_6_NA","DRYER_natura_root_ITS2_6_NA","DRYER","natura","root","ITS2","sample",NA,"6","Clusiaceae","Symphonia","globulifera"
"DRYER_natura_root_ITS2_60_NA","DRYER_natura_root_ITS2_60_NA","DRYER","natura","root","ITS2","sample",NA,"60","Fabaceae","Pterocarpus","officinalis"
"DRYER_natura_root_ITS2_61_NA","DRYER_natura_root_ITS2_61_NA","DRYER","natura","root","ITS2","sample",NA,"61","Myristicaceae","Virola","surinamensis"
"DRYER_natura_root_ITS2_62_NA","DRYER_natura_root_ITS2_62_NA","DRYER","natura","root","ITS2","sample",NA,"62","Myristicaceae","Virola","surinamensis"
"DRYER_natura_root_ITS2_63_NA","DRYER_natura_root_ITS2_63_NA","DRYER","natura","root","ITS2","sample",NA,"63","Myristicaceae","Virola","surinamensis"
"DRYER_natura_root_ITS2_64_NA","DRYER_natura_root_ITS2_64_NA","DRYER","natura","root","ITS2","sample",NA,"64","Myristicaceae","Virola","surinamensis"
"DRYER_natura_root_ITS2_65_NA","DRYER_natura_root_ITS2_65_NA","DRYER","natura","root","ITS2","sample",NA,"65","Myristicaceae","Virola","surinamensis"
"DRYER_natura_root_ITS2_66_NA","DRYER_natura_root_ITS2_66_NA","DRYER","natura","root","ITS2","sample",NA,"66","Myristicaceae","Virola","surinamensis"
"DRYER_natura_root_ITS2_67_NA","DRYER_natura_root_ITS2_67_NA","DRYER","natura","root","ITS2","sample",NA,"67","Myristicaceae","Virola","surinamensis"
"DRYER_natura_root_ITS2_68_NA","DRYER_natura_root_ITS2_68_NA","DRYER","natura","root","ITS2","sample",NA,"68","Myristicaceae","Virola","surinamensis"
"DRYER_natura_root_ITS2_69_NA","DRYER_natura_root_ITS2_69_NA","DRYER","natura","root","ITS2","sample",NA,"69","Fabaceae","Tachigali","melinonii"
"DRYER_natura_root_ITS2_7_NA","DRYER_natura_root_ITS2_7_NA","DRYER","natura","root","ITS2","sample",NA,"7","Myristicaceae","Iryanthera","hostmannii"
"DRYER_natura_root_ITS2_70_NA","DRYER_natura_root_ITS2_70_NA","DRYER","natura","root","ITS2","sample",NA,"70","Bignoniaceae","Jacaranda","copaia"
"DRYER_natura_root_ITS2_71_NA","DRYER_natura_root_ITS2_71_NA","DRYER","natura","root","ITS2","sample",NA,"71","Bignoniaceae","Jacaranda","copaia"
"DRYER_natura_root_ITS2_72_NA","DRYER_natura_root_ITS2_72_NA","DRYER","natura","root","ITS2","sample",NA,"72","Bignoniaceae","Jacaranda","copaia"
"DRYER_natura_root_ITS2_8_NA","DRYER_natura_root_ITS2_8_NA","DRYER","natura","root","ITS2","sample",NA,"8","Clusiaceae","Symphonia","globulifera"
